Row ID,Order ID,Order_Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,"City, State"
42433,AG-2011-2040,1/1/2011,1/6/2011,Standard Class,TB-11280,Toby Braunhardt,Consumer,Algeria,,Africa,Africa,OFF-TEN-10000025,Office Supplies,Storage,"Tenex Lockers, Blue",408.3,2,0,106.14,35.46,Medium,"Constantine, Constantine"
45193,TZ-2011-7370,1/3/2011,1/8/2011,Standard Class,JG-5115,Jack Garza,Consumer,Tanzania,,Africa,Africa,OFF-STI-10000388,Office Supplies,Supplies,"Stiletto Scissors, Serrated",81.24,4,0,26.76,5.11,Medium,"Dar es Salaam, Dar Es Salaam"
44301,SU-2011-5190,1/4/2011,1/8/2011,Standard Class,JC-5340,Jasper Cacioppo,Consumer,Sudan,,Africa,Africa,OFF-BOS-10004950,Office Supplies,Art,"Boston Pens, Fluorescent",15.48,1,0,2.61,0.82,Medium,"Khartoum, Khartoum"
44302,SU-2011-5190,1/4/2011,1/8/2011,Standard Class,JC-5340,Jasper Cacioppo,Consumer,Sudan,,Africa,Africa,OFF-AVE-10003279,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",5.91,1,0,2.1,0.51,Medium,"Khartoum, Khartoum"
47496,AO-2011-4910,1/6/2011,1/11/2011,Standard Class,GK-4620,Grace Kelly,Corporate,Angola,,Africa,Africa,TEC-LOG-10003079,Technology,Accessories,"Logitech Flash Drive, Erganomic",28.32,1,0,12.72,2,Medium,"Luanda, Luanda"
41512,AG-2011-7230,1/7/2011,1/11/2011,Standard Class,AC-420,Alyssa Crouse,Corporate,Algeria,,Africa,Africa,OFF-STA-10000244,Office Supplies,Art,"Stanley Sketch Pad, Fluorescent",91.38,2,0,14.58,4.36,Medium,"Algiers, Alger"
48278,MZ-2011-1260,1/7/2011,1/10/2011,First Class,SV-10785,Stewart Visinsky,Consumer,Mozambique,,Africa,Africa,OFF-ELD-10001694,Office Supplies,Storage,"Eldon File Cart, Single Width",255.84,2,0,46.02,52.46,High,"Lichinga, Niassa"
48279,MZ-2011-1260,1/7/2011,1/10/2011,First Class,SV-10785,Stewart Visinsky,Consumer,Mozambique,,Africa,Afric,OFF-STA-10004885,Office Supplies,Art,"Stanley Sketch Pad, Easy-Erase",44.7,1,0,8.49,13.7,High,"Lichinga, Niassa"
41613,NI-2011-4770,1/8/2011,1/11/2011,Second Class,JE-5715,Joe Elijah,Consumer,Nigeria,,Africa,Afric,OFF-AVE-10000608,Office Supplies,Binders,"Avery Index Tab, Economy",4.698,2,0.7,-4.542,0.82,High,"Lagos, Lagos"
50724,AO-2011-1670,1/8/2011,1/13/2011,Standard Class,HZ-4950,Henia Zydlo,Consumer,Angola,,Africa,Afric,FUR-IKE-10001539,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",2478.6,6,0,49.5,349.87,High,"Benguela, Benguela"
43975,AG-2011-1070,1/10/2011,1/15/2011,Second Class,TH-11235,Tiffany House,Corporate,Algeria,,Africa,Afric,OFF-HOO-10001783,Office Supplies,Appliances,"Hoover Microwave, Red",308.64,1,0,61.71,31.41,Medium,"Constantine, Constantine"
47732,SF-2011-6400,1/10/2011,1/14/2011,Standard Class,RS-9420,Ricardo Sperren,Corporate,South Africa,,Africa,Afric,OFF-ACC-10003422,Office Supplies,Binders,"Acco Binder, Durable",16.65,1,0,4.65,1.29,Medium,"Rustenburg, North-West"
48589,EG-2011-4260,1/10/2011,1/12/2011,Second Class,SJ-10125,Sanjit Jacobs,Home Office,Egypt,,Africa,Afric,FUR-CHR-10004803,Furniture,Tables,"Chromcraft Wood Table, Fully Assembled",967.98,2,0,445.26,80.13,High,"Cairo, Al Qahirah"
46376,NI-2011-1670,1/12/2011,1/16/2011,Standard Class,SC-10440,Shaun Chance,Corporate,Nigeria,,Africa,Afric,OFF-AVE-10000065,Office Supplies,Labels,"Avery Removable Labels, Alphabetical",12.672,4,0.7,-21.648,0.62,Medium,"Lagos, Lagos"
46377,NI-2011-1670,1/12/2011,1/16/2011,Standard Class,SC-10440,Shaun Chance,Corporate,Nigeria,,Africa,Afric,OFF-KLE-10001317,Office Supplies,Supplies,"Kleencut Ruler, Easy Grip",4.554,1,0.7,-10.326,0.43,Medium,"Lagos, Lagos"
46378,NI-2011-1670,1/12/2011,1/16/2011,Standard Class,SC-10440,Shaun Chance,Corporate,Nigeria,,Africa,Afric,OFF-FEL-10001792,Office Supplies,Storage,"Fellowes Folders, Wire Frame",15.282,2,0.7,-22.458,1.27,Medium,"Lagos, Lagos"
46379,NI-2011-1670,1/12/2011,1/16/2011,Standard Class,SC-10440,Shaun Chance,Corporate,Nigeria,,Africa,Afric,OFF-FEL-10003848,Office Supplies,Storage,"Fellowes Trays, Industrial",17.361,1,0.7,-26.649,0.24,Medium,"Lagos, Lagos"
46380,NI-2011-1670,1/12/2011,1/16/2011,Standard Class,SC-10440,Shaun Chance,Corporate,Nigeria,,Africa,Afric,OFF-ADV-10003030,Office Supplies,Fasteners,"Advantus Staples, 12 Pack",3.087,1,0.7,-6.483,0.25,Medium,"Lagos, Lagos"
46381,NI-2011-1670,1/12/2011,1/16/2011,Standard Class,SC-10440,Shaun Chance,Corporate,Nigeria,,Africa,Afric,OFF-BIC-10000582,Office Supplies,Art,"BIC Sketch Pad, Water Color",15.552,1,0.7,-28.518,1.27,Medium,"Lagos, Lagos"
46319,EG-2011-4270,1/13/2011,1/18/2011,Standard Class,RD-9720,Roger Demir,Consumer,Egypt,,Africa,Afric,TEC-HP -10001574,Technology,Copiers,"HP Fax Machine, Laser",1199.76,4,0,479.88,55.62,Medium,"Aswan, Aswan"
46320,EG-2011-4270,1/13/2011,1/18/2011,Standard Class,RD-9720,Roger Demir,Consumer,Egypt,,Africa,Afric,OFF-FEL-10001343,Office Supplies,Storage,"Fellowes Box, Wire Frame",37.5,2,0,17.22,2.66,Medium,"Aswan, Aswan"
46321,EG-2011-4270,1/13/2011,1/18/2011,Standard Class,RD-9720,Roger Demir,Consumer,Egypt,,Africa,Afric,OFF-SME-10004553,Office Supplies,Storage,"Smead Lockers, Blue",793.68,4,0,134.88,76.6,Medium,"Aswan, Aswan"
48116,SF-2011-7680,1/14/2011,1/21/2011,Standard Class,SN-10710,Steve Nguyen,Home Office,South Africa,,Africa,Afric,OFF-SAN-10001128,Office Supplies,Art,"Sanford Pens, Easy-Erase",136.44,12,0,31.32,23.89,Low,"Port Elizabeth, Eastern Cape"
43286,NI-2011-2280,1/15/2011,1/21/2011,Standard Class,MB-8085,Mick Brown,Consumer,Nigeria,,Africa,Afric,OFF-ADV-10003030,Office Supplies,Fasteners,"Advantus Staples, 12 Pack",18.522,6,0.7,-38.898,1.46,Medium,"Port Harcourt, Rivers"
43287,NI-2011-2280,1/15/2011,1/21/2011,Standard Class,MB-8085,Mick Brown,Consumer,Nigeria,,Africa,Afric,FUR-HAR-10000441,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable",44.874,1,0.7,-56.856,3.43,Medium,"Port Harcourt, Rivers"
43288,NI-2011-2280,1/15/2011,1/21/2011,Standard Class,MB-8085,Mick Brown,Consumer,Nigeria,,Africa,Afric,OFF-SAN-10004232,Office Supplies,Art,"Sanford Markers, Fluorescent",14.706,2,0.7,-14.754,1.02,Medium,"Port Harcourt, Rivers"
51126,TZ-2011-5130,1/18/2011,1/21/2011,First Class,CS-2175,Charles Sheldon,Corporate,Tanzania,,Africa,Afric,OFF-FEL-10004665,Office Supplies,Storage,"Fellowes Lockers, Blue",746.388,4,0.1,132.588,132.29,Medium,"Arusha, Arusha"
48019,ZA-2011-9910,1/19/2011,1/21/2011,First Class,PG-8820,Patrick Gardner,Consumer,Zambia,,Africa,Afric,TEC-BEL-10000681,Technology,Accessories,"Belkin Mouse, USB",40.92,1,0,6.12,12.68,Critical,"Chipata, Eastern"
48020,ZA-2011-9910,1/19/2011,1/21/2011,First Class,PG-8820,Patrick Gardner,Consumer,Zambia,,Africa,Afric,OFF-BIN-10000772,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color",417.9,14,0,95.76,143.67,Critical,"Chipata, Eastern"
