Year Filter,Order Date,Year of Sale,Returned?,Days to Ship,Approver,Return Notes,Order ID,Return Reason,Category,City,Country,Customer ID,Customer Name,Discount,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Sales
1/1/2022,10/19/2022,1/1/2018,,4,,,,,Office Supplies,Houston,United States,MA-17560,Matt Abelman,0.2,77095,OFF-PA-10000249,Easy-staple paper,9.9468,3,Central,35,Home Office,10/23/2018,Second Class,Texas,Paper,29.472
1/1/2022,9/10/2022,1/1/2018,,5,,,,,Technology,Naperville,United States,LC-16930,Linda Cazamias,0.2,60540,TEC-PH-10004093,Panasonic Kx-TS550,16.5564,4,Central,42,Corporate,9/15/2018,Standard Class,Illinois,Phones,147.168
1/1/2022,9/14/2022,1/1/2018,,3,,,,,Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,0,49201,OFF-PA-10004675,Telephone Message Books with Fax/Mobile Section 5 1/2 x 3 3/16,8.763,3,Central,72,Consumer,9/17/2018,Second Class,Michigan,Paper,19.05
1/1/2022,12/9/2022,1/1/2018,,2,,,,,Office Supplies,Houston,United States,KB-16600,Ken Brennan,0.8,77041,OFF-BI-10004182,Economy Binders,-1.9344,3,Central,76,Corporate,12/11/2018,First Class,Texas,Binders,1.248
1/1/2022,12/9/2022,1/1/2018,,2,,,,,Furniture,Houston,United States,KB-16600,Ken Brennan,0.6,77041,FUR-FU-10000260,6 Cubicle Wall Clock Black,-5.8248,3,Central,77,Corporate,12/11/2018,First Class,Texas,Furnishings,9.708
1/1/2022,12/9/2022,1/1/2018,,2,,,,,Office Supplies,Houston,United States,KB-16600,Ken Brennan,0.2,77041,OFF-ST-10000615,SimpliFile Personal File Black Granite 15w x 6-15/16d x 11-1/4h,2.724,3,Central,78,Corporate,12/11/2018,First Class,Texas,Storage,27.24
1/1/2022,11/13/2022,1/1/2018,,3,,,,,Office Supplies,Chicago,United States,CS-12400,Christopher Schild,0.2,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,-48.9549,3,Central,85,Home Office,11/16/2018,First Class,Illinois,Storage,230.376
1/1/2022,10/26/2022,1/1/2018,,7,,,,,Technology,Rochester,United States,PG-18895,Paul Gonzalez,0,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,6.7966,1,Central,87,Consumer,11/2/2018,Standard Class,Minnesota,Accessories,19.99
1/1/2022,10/26/2022,1/1/2018,,7,,,,,Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,0,55901,OFF-LA-10000134,Avery 511,2.9568,2,Central,88,Consumer,11/2/2018,Standard Class,Minnesota,Labels,6.16
1/1/2022,12/22/2022,1/1/2018,,5,,,,,Office Supplies,Independence,United States,SG-20080,Sandra Glassco,0,64055,OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,218.2518,3,Central,145,Consumer,12/27/2018,Standard Class,Missouri,Appliances,839.43
1/1/2022,4/21/2022,1/1/2018,,4,,,,,Office Supplies,Houston,United States,SJ-20500,Shirley Jackson,0.8,77036,OFF-AP-10002684,Acco 7-Outlet Masterpiece Power Center Wihtout Fax/Phone Line Protection,-243.16,4,Central,177,Consumer,4/25/2018,Second Class,Texas,Appliances,97.264
1/1/2022,12/17/2022,1/1/2018,,4,,,,,Office Supplies,Dallas,United States,LC-17140,Logan Currie,0.8,75220,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,-178.9668,2,Central,204,Consumer,12/21/2018,Second Class,Texas,Appliances,66.284
1/1/2022,12/1/2022,1/1/2018,,6,,,,,Office Supplies,Saginaw,United States,JH-15985,Joseph Holt,0,48601,OFF-ST-10000642,Tennsco Lockers Gray,5.8744,4,Central,207,Consumer,12/7/2018,Standard Class,Michigan,Storage,83.92
1/1/2022,12/1/2022,1/1/2018,,6,,,,,Technology,Saginaw,United States,JH-15985,Joseph Holt,0,48601,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,35.6346,2,Central,208,Consumer,12/7/2018,Standard Class,Michigan,Phones,131.98
1/1/2022,12/1/2022,1/1/2018,,6,,,,,Office Supplies,Saginaw,United States,JH-15985,Joseph Holt,0,48601,OFF-BI-10003274,Avery Durable Slant Ring Binders No Labels,7.4824,4,Central,209,Consumer,12/7/2018,Standard Class,Michigan,Binders,15.92
1/1/2022,12/1/2022,1/1/2018,,6,,,,,Office Supplies,Saginaw,United States,JH-15985,Joseph Holt,0,48601,OFF-FA-10000134,Advantus Push Pins Aluminum Head,16.2099,9,Central,210,Consumer,12/7/2018,Standard Class,Michigan,Fasteners,52.29
1/1/2022,12/1/2022,1/1/2018,,6,,,,,Office Supplies,Saginaw,United States,JH-15985,Joseph Holt,0,48601,OFF-ST-10001522,Gould Plastics 18-Pocket Panel Bin 34w x 5-1/4d x 20-1/2h,3.6796,1,Central,211,Consumer,12/7/2018,Standard Class,Michigan,Storage,91.99
